file_a,file_b,cochange_count,jaccard
Desktop/artist-booking-os/.env.example,Desktop/artist-booking-os/README.md,2,0.400000
Desktop/artist-booking-os/.env.example,Desktop/artist-booking-os/src/lib/health.ts,2,0.333333
Desktop/artist-booking-os/src/app/(auth)/login/page.tsx,Desktop/artist-booking-os/src/app/(auth)/register/page.tsx,3,1.000000
Desktop/artist-booking-os/src/components/help/HelpContactForm.tsx,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,2,0.285714
Desktop/artist-booking-os/src/components/landing/final-cta-section.tsx,Desktop/artist-booking-os/src/components/landing/hero-section.tsx,4,1.000000
Desktop/artist-booking-os/src/components/landing/final-cta-section.tsx,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,2,0.333333
Desktop/artist-booking-os/src/components/landing/hero-section.tsx,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,2,0.333333
Desktop/artist-booking-os/src/app/(public)/system/page.tsx,Desktop/artist-booking-os/src/messages/en.json,3,0.750000
Desktop/artist-booking-os/src/app/(public)/about/page.tsx,Desktop/artist-booking-os/src/app/(public)/pricing/page.tsx,2,0.400000
Desktop/artist-booking-os/src/app/(public)/about/page.tsx,Desktop/artist-booking-os/src/app/(public)/system/page.tsx,2,0.500000
Desktop/artist-booking-os/src/app/(public)/about/page.tsx,Desktop/artist-booking-os/src/lib/directory-demo-data.ts,2,0.666667
Desktop/artist-booking-os/src/app/(public)/about/page.tsx,Desktop/artist-booking-os/src/messages/en.json,2,0.400000
Desktop/artist-booking-os/src/app/(public)/pricing/page.tsx,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,2,0.333333
Desktop/artist-booking-os/src/app/(public)/system/page.tsx,Desktop/artist-booking-os/src/lib/directory-demo-data.ts,2,0.666667
Desktop/artist-booking-os/src/lib/directory-demo-data.ts,Desktop/artist-booking-os/src/messages/en.json,2,0.500000
Desktop/artist-booking-os/src/components/landing/how-it-works-section.tsx,Desktop/artist-booking-os/src/components/landing/role-tabs-section.tsx,2,0.666667
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/page.tsx,Desktop/artist-booking-os/src/app/(public)/artists/[slug]/page.tsx,2,0.400000
Desktop/artist-booking-os/middleware.ts,Desktop/artist-booking-os/src/lib/health.ts,2,0.666667
Desktop/artist-booking-os/middleware.ts,Desktop/artist-booking-os/tests/unit/health.test.ts,2,1.000000
Desktop/artist-booking-os/src/lib/health.ts,Desktop/artist-booking-os/tests/unit/health.test.ts,2,0.666667
