person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/docs/GO_LIVE_TODO.md,15,14.163106,2026-02-24T02:21:41+00:00,2026-02-24T17:25:36+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/.env.example,3,2.832515,2026-02-24T02:20:38+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/README.md,1,0.944935,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/(auth)/login/page.tsx,3,2.833896,2026-02-24T13:48:53+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/(auth)/register/page.tsx,3,2.833896,2026-02-24T13:48:53+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/auth-readiness.ts,1,0.944935,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/auth.ts,1,0.944935,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/health.ts,2,1.887611,2026-02-24T02:20:50+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/tests/unit/auth-readiness.test.ts,1,0.944935,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/directory-demo-data.ts,3,2.832111,2026-02-24T02:20:11+00:00,2026-02-24T17:16:09+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/(public)/security/page.tsx,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/robots.ts,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/sitemap.ts,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/layout/PublicFooter.tsx,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/site-footer.tsx,2,1.887610,2026-02-24T02:21:01+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/public-navigation.ts,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/tests/unit/public-navigation.test.ts,1,0.944934,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/help/HelpContactForm.tsx,5,4.720493,2026-02-24T02:20:38+00:00,2026-02-24T17:15:41+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/landing/final-cta-section.tsx,3,2.833743,2026-02-24T13:07:33+00:00,2026-02-24T17:15:41+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/landing/hero-section.tsx,4,3.778005,2026-02-24T12:49:36+00:00,2026-02-24T17:15:41+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,4,3.778005,2026-02-24T12:49:43+00:00,2026-02-24T17:15:41+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/analytics.ts,1,0.944934,2026-02-24T17:15:41+00:00,2026-02-24T17:15:41+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/api/help/contact/route.ts,2,1.887608,2026-02-24T02:20:38+00:00,2026-02-24T17:15:29+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/api/invoices/[id]/pay/route.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/api/invoices/[id]/route.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/api/invoices/reset/route.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/app/api/invoices/route.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/src/lib/mock-invoice-runtime.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
baldvinoddsson@Baldvins-MacBook-Air.local,Desktop/artist-booking-os/tests/unit/mock-invoice-runtime.test.ts,1,0.944904,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,0.00
